number,species,locality,host,sex,life_stage,frozen_date,extraction_date,mass_mg,abs1,abs2,abs3,abs4,absAVG,ug,ug_corrected,concen_ug_mg,notes
0,O_engelmannii,BFL_0,,,host_plant,,11/11/24,98,-0.003,0,-0.001,0.001,-0.00075,-0.031455,-2.76804,-0.028245306,y = 38.34x - 0.0028
1,O_engelmannii,BFL_1,,,host_plant,,8/22/25,98.8,0.024,0.025,0.025,0.024,0.0245,0.93663,82.42344,0.834245344,y = 62.83x - 0.0289
2,I_vomitoria,BFL_1,,,host_plant,,8/22/25,101.5,0.046,0.043,0.043,0.043,0.04375,2.7199125,239.3523,2.358150739,y = 62.83x - 0.0289
1,O_engelmannii,Goliad_2,,,host_plant,,11/24/25,68,0.006,0.007,0.015,0.015,0.01075,0.6465225,56.89398,0.836676176,y = 62.83x - 0.0289
2,O_engelmannii,BFL_3,,,host_plant,,11/24/25,132,0.007,0.007,0.014,0.007,0.00875,0.5208625,45.8359,0.347241667,y = 62.83x - 0.0289
3,O_engelmannii,BFL_2,,,host_plant,,11/24/25,101,0.006,0.005,0.003,0.01,0.006,0.34808,30.63104,0.303277624,y = 62.83x - 0.0289
4,O_engelmannii,La_Paloma,,,host_plant,,11/24/25,93,0.015,0.009,0.015,0.01,0.01225,0.7407675,65.18754,0.70094129,y = 62.83x - 0.0289
5,O_engelmannii,Hornsby_Bend,,,host_plant,,11/24/25,55,0.006,0.015,0.004,0.008,0.00825,0.4894475,43.07138,0.783116,y = 62.83x - 0.0289
6,I_vomitoria,BFL_2,,,host_plant,,11/24/25,84,0.026,0.026,0.026,0.026,0.026,1.60468,141.21184,1.681093333,y = 62.83x - 0.0289
7,I_vomitoria,BFL_5,,,host_plant,,11/24/25,81,0.02,0.031,0.031,0.031,0.02825,1.7460475,153.65218,1.896940494,y = 62.83x - 0.0289
8,I_vomitoria,BFL_3,,,host_plant,,11/24/25,80,0.017,0.019,0.01,0.019,0.01625,0.9920875,87.3037,1.09129625,y = 62.83x - 0.0289
9,I_vomitoria,BFL_4,,,host_plant,,11/24/25,67,0.016,0.028,0.016,0.016,0.019,1.16487,102.50856,1.529978507,y = 62.83x - 0.0289
0,I_vomitoria,BFL_0,,,host_plant,,11/11/24,79,-0.01,0,0,0.01,0,-0.0027,-0.2376,-0.003007595,y = 38.34x - 0.0028